time,ax,ay,az,gx,gy,gz,mx,my,mz
3778.00,-0.60,6.38,-7.88,0.00,0.01,0.00,3.00,-59.00,30.00
3790.00,-0.60,6.38,-7.88,0.00,0.01,0.00,3.00,-59.00,30.00
3801.00,-0.41,6.35,-7.93,0.03,-0.04,0.07,3.00,-59.00,30.00
3813.00,-0.41,6.35,-7.93,0.03,-0.04,0.07,3.00,-59.00,30.00
3826.00,-2.20,6.74,-7.63,0.03,-0.07,0.16,3.00,-59.00,30.00
3837.00,-1.52,8.22,-6.19,0.36,0.50,-0.13,3.00,-59.00,30.00
3849.00,-1.52,8.22,-6.19,0.36,0.50,-0.13,3.00,-59.00,30.00
3860.00,-1.36,10.02,-8.81,0.64,1.15,-0.63,3.00,-59.00,30.00
3872.00,-1.36,10.02,-8.81,0.64,1.15,-0.63,3.00,-59.00,30.00
3885.00,-1.60,8.33,-13.26,3.86,1.71,-1.31,3.00,-59.00,30.00
3896.00,1.59,-0.62,-9.13,7.52,1.50,-1.16,3.00,-40.00,34.00
3908.00,1.59,-0.62,-9.13,7.52,1.50,-1.16,3.00,-40.00,34.00
3919.00,1.05,-0.32,-10.35,5.26,0.29,0.43,3.00,-40.00,34.00
3932.00,1.05,-0.32,-10.35,5.26,0.29,0.43,3.00,-40.00,34.00
3943.00,-0.83,1.65,-10.93,2.56,-0.29,1.58,3.00,-40.00,34.00
3955.00,1.72,4.36,-13.20,0.31,0.11,1.72,3.00,-40.00,34.00
3967.00,1.72,4.36,-13.20,0.31,0.11,1.72,3.00,-40.00,34.00
3971.00,1.72,4.36,-13.20,0.31,0.11,1.72,3.00,-40.00,34.00
4052.00,0.16,4.74,-10.67,3.71,0.27,4.12,11.00,-2.00,65.00
4129.00,-1.74,5.75,0.81,-9.88,-1.68,-3.63,11.00,-2.00,65.00
4210.00,8.55,7.94,2.46,-6.70,6.00,-8.96,11.00,-24.00,56.00
4298.00,-7.01,8.15,-5.22,0.84,1.07,-2.27,-45.00,-91.00,-96.00
4310.00,-7.01,8.15,-5.22,0.84,1.07,-2.27,-45.00,-91.00,-96.00
4321.00,-2.68,7.88,-3.24,-1.84,-0.32,-2.72,-45.00,-91.00,-96.00
4333.00,-2.68,7.88,-3.24,-1.84,-0.32,-2.72,-45.00,-91.00,-96.00
4346.00,-3.88,6.75,-1.48,1.23,0.67,-1.84,-45.00,-91.00,-96.00
4358.00,-6.45,6.98,-4.12,3.20,1.51,-0.68,-45.00,-91.00,-96.00
4370.00,-6.45,6.98,-4.12,3.20,1.51,-0.68,-45.00,-91.00,-96.00
4382.00,-5.06,6.19,-2.55,2.33,1.33,-0.06,-45.00,-91.00,-96.00
4395.00,-1.82,9.01,-2.02,-1.93,1.16,-0.45,-45.00,-91.00,-96.00
4406.00,-1.82,9.01,-2.02,-1.93,1.16,-0.45,-60.00,-85.00,-74.00
4418.00,-3.72,10.60,-5.90,-3.51,1.23,-1.33,-60.00,-85.00,-74.00
4429.00,-3.72,10.60,-5.90,-3.51,1.23,-1.33,-60.00,-85.00,-74.00
4442.00,-1.43,8.65,-2.45,1.44,1.47,-1.47,-60.00,-85.00,-74.00
4454.00,-1.43,8.65,-2.45,1.44,1.47,-1.47,-60.00,-85.00,-74.00
4466.00,-3.31,7.56,-2.88,3.32,1.76,-1.94,-60.00,-85.00,-74.00
4477.00,-2.40,8.44,-5.11,3.90,1.73,-2.42,-60.00,-85.00,-74.00
4490.00,-2.40,8.44,-5.11,3.90,1.73,-2.42,-60.00,-85.00,-74.00
4501.00,-3.36,8.15,-7.96,5.08,1.23,-2.82,-60.00,-85.00,-74.00
4512.00,-3.36,8.15,-7.96,5.08,1.23,-2.82,-60.00,-85.00,-74.00
4524.00,-6.59,6.57,-7.43,6.99,-0.35,-2.24,-79.00,-66.00,-31.00
