time,ax,ay,az,gx,gy,gz,mx,my,mz
2328.00,-0.66,6.32,-7.90,-0.01,0.02,0.02,0.00,-22.00,-39.00
2339.00,-0.66,6.33,-7.90,-0.01,0.02,0.02,2.00,-20.00,-37.00
2352.00,-0.66,6.33,-7.90,-0.01,0.02,0.02,2.00,-20.00,-37.00
2363.00,-0.67,6.33,-7.93,-0.01,0.02,0.02,2.00,-20.00,-37.00
2375.00,-0.67,6.33,-7.93,-0.01,0.02,0.02,2.00,-20.00,-37.00
2387.00,-0.65,6.34,-7.90,-0.01,0.02,0.02,2.00,-20.00,-37.00
2399.00,-0.64,6.32,-7.91,-0.01,0.02,0.02,2.00,-20.00,-37.00
2412.00,-0.64,6.32,-7.91,-0.01,0.02,0.02,2.00,-20.00,-37.00
2423.00,-0.63,6.33,-7.89,-0.01,0.02,0.02,2.00,-20.00,-37.00
2435.00,-0.63,6.33,-7.89,-0.01,0.02,0.02,2.00,-20.00,-37.00
2446.00,-0.65,6.31,-7.90,-0.01,0.02,0.02,2.00,-20.00,-37.00
2459.00,-0.66,6.32,-7.91,-0.01,0.02,0.02,0.00,-15.00,-39.00
2471.00,-0.66,6.32,-7.91,-0.01,0.02,0.02,0.00,-15.00,-39.00
2483.00,-0.63,6.34,-7.90,-0.01,0.02,0.02,0.00,-15.00,-39.00
2495.00,-0.63,6.34,-7.90,-0.01,0.02,0.02,0.00,-15.00,-39.00
2507.00,-0.63,6.32,-7.92,-0.01,0.02,0.02,0.00,-15.00,-39.00
2519.00,-0.66,6.31,-7.88,-0.01,0.02,0.02,0.00,-15.00,-39.00
2530.00,-0.66,6.31,-7.88,-0.01,0.02,0.02,0.00,-15.00,-39.00
2542.00,-0.64,6.31,-7.88,-0.01,0.02,0.02,0.00,-15.00,-39.00
2555.00,-0.64,6.31,-7.88,-0.01,0.02,0.02,0.00,-15.00,-39.00
2567.00,-0.64,6.34,-7.89,-0.01,0.02,0.02,0.00,-15.00,-39.00
2579.00,-0.66,6.31,-7.91,-0.01,0.02,0.02,2.00,-18.00,-42.00
2591.00,-0.66,6.31,-7.91,-0.01,0.02,0.02,2.00,-18.00,-42.00
